|   # | Tiny Inconvenience                                                           | Villain Origin Consequence                                                                         |
|  57 | She opens a drawer and it jams                                               | Mimi becomes **Drawer Rage**, negotiating with furniture like it owes rent.                        |
|  58 | Someone says “I’m five minutes away” from their house                        | Mimi becomes **Time Fraud Investigator**, exposing lies with location services energy.             |
|  59 | The pizza slice burns her mouth                                              | Mimi becomes **Cheese Lava Survivor**, unable to trust melted things.                              |
|  60 | The shampoo bottle is empty mid-shower                                       | Mimi becomes **Half-Clean Menace**, plotting from beneath the water.                               |
|  61 | She tries to unlock her phone with wet fingers                               | Mimi becomes **Touchscreen Reject**, betrayed by glass.                                            |
|  62 | Her playlist ends and silence attacks                                        | Mimi becomes **The Awkward Silence Sorcerer**, filling voids with suspicious humming.              |
|  63 | A website makes her accept cookies again                                     | Mimi becomes **Cookie Consent Criminal**, accepting nothing emotionally.                           |
|  64 | Someone asks “are you mad?” when she was not mad                             | Mimi becomes **Mad Now Mimi**, created entirely by the question.                                   |
|  65 | The chair is warm from the previous person                                   | Mimi becomes **Seat Memory Mimi**, cursed by public furniture.                                     |
|  66 | She opens a banana from the wrong end and it fights back                     | Mimi becomes **Banana Villain**, anti-fruit and pro-chaos.                                         |
|  67 | A notification disappears before she reads it                                | Mimi becomes **The Lost Alert**, forever chasing one mystery ping.                                 |
|  68 | She gets a captcha wrong                                                     | Mimi becomes **Probably Not Human**, rejected by robots and society.                               |
|  69 | The blanket has no cold side left                                            | Mimi becomes **Heat Trap Mimi**, forced into full goblin transformation.                           |
|  70 | Her hoodie string vanishes into the hood                                     | Mimi becomes **Stringless Fury**, emotionally held together by nothing.                            |
|  71 | Someone chews too loudly nearby                                              | Mimi becomes **Crunch Monitor**, enforcing snack silence across the land.                          |
|  72 | The shopping cart has one broken wheel                                       | Mimi becomes **The Wobble Queen**, drifting through aisles like a haunted boat.                    |
|  73 | She waves back at someone waving to someone behind her                       | Mimi becomes **Social Death Mimi**, leaving her body for three business days.                      |
|  74 | Her package says “delivered” but is not there                                | Mimi becomes **Porch Pirate Detective**, interrogating neighbors through curtains.                 |
|  75 | Someone asks a question answered in the message above                        | Mimi becomes **Per My Last Email Mimi**, wearing tiny office armor.                                |
|  76 | The ice cream spoon bends                                                    | Mimi becomes **Soft Spoon Villain**, betrayed by weak cutlery.                                     |
|  77 | She steps on one tiny crumb barefoot                                         | Mimi becomes **Crumb Punishment**, vacuuming with personal rage.                                   |
|  78 | The zipper gets stuck                                                        | Mimi becomes **The Fabric Prisoner**, trapped by fashion.                                          |
|  79 | Someone says “smile more”                                                    | Mimi becomes **The Smile Tax Collector**, charging rent for unsolicited opinions.                  |
|  80 | Her headphones connect to the wrong device                                   | Mimi becomes **Bluetooth Betrayed**, fighting invisible connections.                               |
|  81 | A recipe says “cook until done”                                              | Mimi becomes **The Measurement Menace**, demanding numbers from cowards.                           |
|  82 | She gets a “low storage” warning                                             | Mimi becomes **The Screenshot Hoarder**, refusing to delete memories or memes.                     |
|  83 | Someone reads her message and does not reply                                 | Mimi becomes **Read Receipt Royalty**, judging silently from the throne.                           |
|  84 | The bus arrives early for once                                               | Mimi becomes **Public Transport Nemesis**, betrayed by punctuality.                                |
|  85 | She forgets her tote bag after saying she is a tote bag person               | Mimi becomes **Plastic Bag Shame**, exiled from aesthetic living.                                  |
|  86 | The fitted sheet refuses to fit                                              | Mimi becomes **Mattress Wrestler**, fighting elastic with ancient fury.                            |
|  87 | The cereal box has crumbs only                                               | Mimi becomes **Breakfast Dust Mimi**, eating disappointment with a spoon.                          |
|  88 | Someone spoils a show casually                                               | Mimi becomes **Spoiler Revenant**, muting names, dates, and humans.                                |
|  89 | Her pen leaks in her bag                                                     | Mimi becomes **Ink Disaster Mimi**, carrying evidence of betrayal forever.                         |
|  90 | A chair leg catches her toe                                                  | Mimi becomes **Furniture Lawsuit**, representing herself emotionally.                              |
|  91 | The traffic light turns red only for her                                     | Mimi becomes **Red Light Rival**, convinced the city has favorites.                                |
|  92 | The bag of salad expires instantly                                           | Mimi becomes **Rotten Leaf Realist**, no longer believing in healthy intentions.                   |
|  93 | Someone says “quick call?”                                                   | Mimi becomes **Calendar Panic**, preparing emotionally for a 6-minute disaster.                    |
|  94 | The app logs her out for security                                            | Mimi becomes **Password Amnesia**, locked outside her own life.                                    |
|  95 | She forgets her umbrella and it rains sideways                               | Mimi becomes **The Damp Duchess**, ruling over poor decisions.                                     |
|  96 | Her favorite mug is dirty                                                    | Mimi becomes **Dish Sink Dictator**, glaring at yesterday’s self.                                  |
|  97 | A drawer contains every charger except the one she needs                     | Mimi becomes **Cable Archaeologist**, digging through ancient wires.                               |
|  98 | Someone says “that’s crazy” but clearly did not listen                       | Mimi becomes **The Fake Listener Detector**, powered by micro-expressions.                         |
|  99 | Her fries have one mystery sweet potato fry                                  | Mimi becomes **Potato Purist**, enforcing fry identity law.                                        |
| 100 | She gets crumbs in bed                                                       | Mimi becomes **Mattress Ecosystem Manager**, forced to sleep in a bakery.                          |
| 101 | A website says her password is weak                                          | Mimi becomes **Password Villain**, offended by cybersecurity honesty.                              |
| 102 | She drops ice down her shirt                                                 | Mimi becomes **The Cold Panic Goblin**, doing a cursed dance in public.                            |
| 103 | Someone uses “your” instead of “you’re” in a serious argument                | Mimi becomes **Grammar Goblin**, unable to focus on the point.                                     |
| 104 | The dishwasher is clean but nobody unloaded it                               | Mimi becomes **Forkless Fury**, eating yogurt with emotional damage.                               |
| 105 | A child stares at her in public                                              | Mimi becomes **Judged by Toddler**, questioning every life choice.                                 |
| 106 | The bag rips one step from home                                              | Mimi becomes **Sidewalk Grocery Tragedy**, carrying onions like fallen soldiers.                   |
| 107 | Her card declines for no reason                                              | Mimi becomes **Banking Theater Mimi**, laughing nervously at capitalism.                           |
| 108 | Someone says “you look tired”                                                | Mimi becomes **The Tiredness Defender**, protecting under-eye circles by law.                      |
| 109 | The automatic door opens too late                                            | Mimi becomes **Glass Door Enemy**, rejected by architecture.                                       |
| 110 | She clicks “remind me later” for the 900th time                              | Mimi becomes **Update Dodger**, living illegally in version 1.0.                                   |
| 111 | A mosquito enters the room at bedtime                                        | Mimi becomes **Tiny Enemy Commander**, unable to sleep until justice is done.                      |
| 112 | She gets a paper cut from mail she did not want                              | Mimi becomes **Junk Mail Avenger**, wounded by capitalism.                                         |
| 113 | The oat milk is finished                                                     | Mimi becomes **Latte Collapse Mimi**, forced to become someone’s villain at 8:03 AM.               |
| 114 | Her toast lands butter-side down                                             | Mimi becomes **Floor Breakfast Prophet**, declaring gravity immoral.                               |
| 115 | Someone says “guess what?” then pauses forever                               | Mimi becomes **Suspense Hostage**, trapped in conversational purgatory.                            |
| 116 | The mirror lighting is criminal                                              | Mimi becomes **Bathroom Lighting Villain**, banning overhead bulbs.                                |
| 117 | She forgets the word for something simple                                    | Mimi becomes **Vocabulary Ghost**, pointing at objects like a cursed mime.                         |
| 118 | Her playlist is interrupted by a sad song while she is trying to be powerful | Mimi becomes **Mood Sabotage Mimi**, betrayed by shuffle.                                          |
| 119 | Someone leaves the cabinet door open                                         | Mimi becomes **Forehead Impact Survivor**, closing doors with personal hatred.                     |
| 120 | The QR code menu will not load                                               | Mimi becomes **Menu Traditionalist**, demanding laminated justice.                                 |
| 121 | She gets “seen” by someone she was avoiding                                  | Mimi becomes **Online Presence Criminal**, caught existing.                                        |
| 122 | A group photo catches her blinking                                           | Mimi becomes **The Blurry Legend**, erased from memories by bad timing.                            |
| 123 | Her fries are stolen by “just one bite” people                               | Mimi becomes **The Bite Accountant**, tracking losses with terrifying accuracy.                    |
| 124 | The last piece of gum is gone                                                | Mimi becomes **Fresh Breath Betrayal**, chewing resentment instead.                                |
| 125 | Someone says “I told you so”                                                 | Mimi becomes **The Petty Archivist**, collecting evidence for future revenge speeches.             |
| 126 | The bathroom has no hook for her bag                                         | Mimi becomes **Bag Floor Survivor**, forever changed by public restrooms.                          |
| 127 | Her package requires a signature when she is in the shower                   | Mimi becomes **Delivery Timing Victim**, dressed in betrayal and a towel.                          |
| 128 | The app asks for a review after one use                                      | Mimi becomes **One-Star Spirit**, rating experiences emotionally.                                  |
| 129 | The train doors close while she is making eye contact with them              | Mimi becomes **Platform Tragedy Mimi**, abandoned by public transport drama.                       |
| 130 | Someone says “no worries” and there are clearly worries                      | Mimi becomes **Worry Auditor**, investigating passive-aggressive peace.                            |
| 131 | She spills water on herself while drinking normally                          | Mimi becomes **Basic Task Failure**, questioning her species.                                      |
| 132 | The pencil breaks immediately after sharpening                               | Mimi becomes **Graphite Villain**, no longer trusting pointy things.                               |
| 133 | She misses the trash can from two inches away                                | Mimi becomes **Aimless Menace**, humbled by physics.                                               |
| 134 | The blanket tag touches her foot                                             | Mimi becomes **Sensory Overlord**, banishing tags from the kingdom.                                |
| 135 | Her favorite snack changed recipe                                            | Mimi becomes **The Flavor Historian**, mourning the old formula forever.                           |
| 136 | Someone says “let’s circle back”                                             | Mimi becomes **Meeting Goblin**, trapped in corporate geometry.                                    |
| 137 | The phone autocorrects “ok” into something weird                             | Mimi becomes **Autocorrect Victim**, sued by her own keyboard.                                     |
| 138 | She opens a can and the pull tab breaks                                      | Mimi becomes **Tin Can Prison Warden**, negotiating with beans.                                    |
| 139 | The hotel pillow is too tall                                                 | Mimi becomes **Neck Damage Duchess**, waking up as a question mark.                                |
| 140 | Someone sends “???” after 11 seconds                                         | Mimi becomes **Reply Deadline Demon**, refusing to be rushed by punctuation.                       |
| 141 | Her jeans fit differently after lunch                                        | Mimi becomes **Denim Betrayal**, accusing fabric of emotional manipulation.                        |
| 142 | She burns her tongue on soup she knew was hot                                | Mimi becomes **Consequence Denier**, repeating mistakes with confidence.                           |
| 143 | The grocery cart shocks her with static                                      | Mimi becomes **Electric Cart Mimi**, lightly powered by betrayal.                                  |
| 144 | The pen cap vanishes                                                         | Mimi becomes **Capless Chaos**, spreading ink danger across society.                               |
| 145 | Someone takes the parking spot she was clearly spiritually connected to      | Mimi becomes **Parking Lot Phantom**, haunting indicators and bad manners.                         |
| 146 | The app says “something went wrong”                                          | Mimi becomes **Something Went Wrong**, vague, unstable, and impossible to troubleshoot.            |
| 147 | She receives a “friendly reminder”                                           | Mimi becomes **Hostile Reminder Mimi**, allergic to cheerful pressure.                             |
| 148 | Her ice melts before she drinks the drink                                    | Mimi becomes **Watered-Down Villain**, diluted but furious.                                        |
| 149 | The blanket is trapped under the cat                                         | Mimi becomes **Immobile Servant**, ruled by a tiny furry dictator.                                 |
| 150 | Someone says “it’s not that deep”                                            | Mimi becomes **The Depth Inspector**, making it deeper immediately.                                |
