CALM REACTION OUTCOMES - 150
Use when the player chooses the calm/pretend-fine reaction instead of full villain transformation.
Format: ID | Inconvenience | Calm Outcome
076 | The ice cream spoon bends | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
077 | She steps on one tiny crumb barefoot | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
078 | The zipper gets stuck | Mimi stays calm, but every household object has officially lost best-friend status.
079 | Someone says “smile more” | Mimi responds politely while opening a tiny private investigation in her brain.
080 | Her headphones connect to the wrong device | Mimi says she is fine, then checks the screen again like peace might refresh.
081 | A recipe says “cook until done” | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
082 | She gets a “low storage” warning | Mimi says she is fine, then checks the screen again like peace might refresh.
083 | Someone reads her message and does not reply | Mimi says she is fine, then checks the screen again like peace might refresh.
084 | The bus arrives early for once | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
085 | She forgets her tote bag after saying she is a tote bag person | Mimi completes the errand with dignity, then writes the incident into her personal villain archive.
086 | The fitted sheet refuses to fit | Mimi stays calm, but every household object has officially lost best-friend status.
087 | The cereal box has crumbs only | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
088 | Someone spoils a show casually | Mimi responds politely while opening a tiny private investigation in her brain.
089 | Her pen leaks in her bag | Mimi stays calm, but every household object has officially lost best-friend status.
090 | A chair leg catches her toe | Mimi stays calm, but every household object has officially lost best-friend status.
091 | The traffic light turns red only for her | Mimi stays calm, but every household object has officially lost best-friend status.
092 | The bag of salad expires instantly | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
093 | Someone says “quick call?” | Mimi responds politely while opening a tiny private investigation in her brain.
094 | The app logs her out for security | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
095 | She forgets her umbrella and it rains sideways | Mimi survives the sensory crime, but the cozy treaty has been damaged.
096 | Her favorite mug is dirty | Mimi stays calm, but every household object has officially lost best-friend status.
097 | A drawer contains every charger except the one she needs | Mimi says she is fine, then checks the screen again like peace might refresh.
098 | Someone says “that’s crazy” but clearly did not listen | Mimi responds politely while opening a tiny private investigation in her brain.
099 | Her fries have one mystery sweet potato fry | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
100 | She gets crumbs in bed | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
101 | A website says her password is weak | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
102 | She drops ice down her shirt | Mimi survives the sensory crime, but the cozy treaty has been damaged.
103 | Someone uses “your” instead of “you’re” in a serious argument | Mimi responds politely while opening a tiny private investigation in her brain.
104 | The dishwasher is clean but nobody unloaded it | Mimi stays calm, but every household object has officially lost best-friend status.
105 | A child stares at her in public | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
106 | The bag rips one step from home | Mimi completes the errand with dignity, then writes the incident into her personal villain archive.
107 | Her card declines for no reason | Mimi completes the errand with dignity, then writes the incident into her personal villain archive.
108 | Someone says “you look tired” | Mimi responds politely while opening a tiny private investigation in her brain.
109 | The automatic door opens too late | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
110 | She clicks “remind me later” for the 900th time | Mimi stays calm, but every household object has officially lost best-friend status.
111 | A mosquito enters the room at bedtime | Mimi stays calm, but every household object has officially lost best-friend status.
112 | She gets a paper cut from mail she did not want | Mimi completes the errand with dignity, then writes the incident into her personal villain archive.
113 | The oat milk is finished | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
114 | Her toast lands butter-side down | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
115 | Someone says “guess what?” then pauses forever | Mimi responds politely while opening a tiny private investigation in her brain.
116 | The mirror lighting is criminal | Mimi survives the sensory crime, but the cozy treaty has been damaged.
117 | She forgets the word for something simple | Mimi stays calm, but every household object has officially lost best-friend status.
118 | Her playlist is interrupted by a sad song while she is trying to be powerful | Mimi says she is fine, then checks the screen again like peace might refresh.
119 | Someone leaves the cabinet door open | Mimi stays calm, but every household object has officially lost best-friend status.
120 | The QR code menu will not load | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
121 | She gets “seen” by someone she was avoiding | Mimi says she is fine, then checks the screen again like peace might refresh.
122 | A group photo catches her blinking | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
123 | Her fries are stolen by “just one bite” people | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
124 | The last piece of gum is gone | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
125 | Someone says “I told you so” | Mimi responds politely while opening a tiny private investigation in her brain.
126 | The bathroom has no hook for her bag | Mimi stays calm, but every household object has officially lost best-friend status.
127 | Her package requires a signature when she is in the shower | Mimi completes the errand with dignity, then writes the incident into her personal villain archive.
128 | The app asks for a review after one use | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
129 | The train doors close while she is making eye contact with them | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
130 | Someone says “no worries” and there are clearly worries | Mimi responds politely while opening a tiny private investigation in her brain.
131 | She spills water on herself while drinking normally | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
132 | The pencil breaks immediately after sharpening | Mimi stays calm, but every household object has officially lost best-friend status.
133 | She misses the trash can from two inches away | Mimi stays calm, but every household object has officially lost best-friend status.
134 | The blanket tag touches her foot | Mimi stays calm, but every household object has officially lost best-friend status.
135 | Her favorite snack changed recipe | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
136 | Someone says “let’s circle back” | Mimi responds politely while opening a tiny private investigation in her brain.
137 | The phone autocorrects “ok” into something weird | Mimi says she is fine, then checks the screen again like peace might refresh.
138 | She opens a can and the pull tab breaks | Mimi stays calm, but every household object has officially lost best-friend status.
139 | The hotel pillow is too tall | Mimi survives the sensory crime, but the cozy treaty has been damaged.
140 | Someone sends “???” after 11 seconds | Mimi says she is fine, then checks the screen again like peace might refresh.
141 | Her jeans fit differently after lunch | Mimi survives the sensory crime, but the cozy treaty has been damaged.
142 | She burns her tongue on soup she knew was hot | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
143 | The grocery cart shocks her with static | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
144 | The pen cap vanishes | Mimi stays calm, but every household object has officially lost best-friend status.
145 | Someone takes the parking spot she was clearly spiritually connected to | Mimi acts normal in public, which is impressive because her soul is already wearing sunglasses and leaving town.
146 | The app says “something went wrong” | Mimi breathes through the machine betrayal and adds “buy emotional support charger” to her mental list.
147 | She receives a “friendly reminder” | Mimi responds politely while opening a tiny private investigation in her brain.
148 | Her ice melts before she drinks the drink | Mimi pretends the snack crime is survivable, but she now watches every plate like a suspicious detective.
149 | The blanket is trapped under the cat | Mimi stays calm, but every household object has officially lost best-friend status.
150 | Someone says “it’s not that deep” | Mimi responds politely while opening a tiny private investigation in her brain.
